brand,model,year,trim,engine,fuel_type,transmission,body_type,power_hp,torque_nm,fuel_consumption_l_100km,boot_space_l,length_mm,width_mm,height_mm,source,source_url
Toyota,Corolla,2024,1.5 Vision Multidrive S,1.5,Gasoline,CVT,Sedan,125,153,5.5,471,4630,1780,1435,technical_catalog,https://zhytauto.com/wp-content/uploads/2024/09/Toyota-corolla.pdf
Fiat,Egea,2024,Easy 1.4 Fire Manual,1.4 Fire,Gasoline,Manual,Sedan,95,127,6.4,520,4532,1792,1497,technical_catalog,https://www.cardimension.net/model/2024/fiat/egea/1-4-fire/easy-manual.html
Renault,Clio,2023,Touch 1.0 TCe X-Tronic,1.0 TCe,Gasoline,X-Tronic,Hatchback,90,142,5.0,391,4053,1798,1440,technical_catalog,https://www.cardimension.net/model/2023/renault/clio/1-0-tce/touch-automatic.html
Volkswagen,Golf,2024,1.5 eTSI DSG,1.5 eTSI,Gasoline,DSG,Hatchback,150,250,5.3,381,4284,1789,1483,technical_catalog,https://www.auto-data.net/en/volkswagen-golf-viii-facelift-2024-1.5-tsi-150hp-51250
Honda,Civic,2024,1.5 VTEC Turbo CVT,1.5 VTEC Turbo,Gasoline,CVT,Sedan,182,240,6.7,519,4678,1802,1415,technical_catalog,https://www.auto-data.net/en/honda-civic-xi-sedan-1.5-turbo-182hp-cvt-46151
Ford,Focus,2022,1.0 EcoBoost 125,1.0 EcoBoost,Gasoline,Manual,Hatchback,125,170,5.4,392,4382,1825,1452,technical_catalog,https://www.auto-data.net/en/ford-focus-iv-active-facelift-2022-1.0-ecoboost-125hp-46587
Opel,Astra,2022,1.2 Turbo 130,1.2 Turbo,Gasoline,Manual,Hatchback,130,230,5.5,422,4374,1860,1441,technical_catalog,https://www.auto-data.net/en/opel-astra-l-1.2-turbo-130hp-44978
Hyundai,i20,2024,1.0 T-GDI 100 DCT,1.0 T-GDI,Gasoline,DCT,Hatchback,100,172,5.3,352,4065,1775,1450,technical_catalog,https://www.auto-data.net/en/hyundai-i20-iii-facelift-2023-1.0-t-gdi-100hp-dct-50003
Peugeot,3008,2024,1.2 PureTech 130 EAT8,1.2 PureTech,Gasoline,EAT8,SUV,130,230,6.0,520,4447,1841,1624,technical_catalog,https://www.auto-data.net/en/peugeot-3008-ii-facelift-2020-1.2-puretech-130hp-eat8-42180
BMW,3 Serisi,2024,320i Sedan,1.6 TwinPower Turbo,Gasoline,Automatic,Sedan,170,250,6.5,480,4713,1827,1440,technical_catalog,https://www.auto-data.net/en/bmw-3-series-sedan-g20-lci-2022-320i-184hp-steptronic-46610
